label,precision,recall,f1
0,0.5746268656716418,0.40794701986754967,0.47714949651433
1,0.6912751677852349,0.8340080971659919,0.7559633027522936
2,0.5,0.3350253807106599,0.4012158054711246
3,0.48951048951048953,0.20114942528735633,0.28513238289205706
4,0.75,0.04411764705882353,0.08333333333333334
5,0.4666666666666667,0.02702702702702703,0.05109489051094891
6,0.881619937694704,0.884375,0.8829953198127924
7,0.6428571428571429,0.43902439024390244,0.5217391304347826
8,0.7176470588235294,0.7887931034482759,0.7515400410677617
9,0.6909090909090909,0.35185185185185186,0.46625766871165647
10,0.5340909090909091,0.8392857142857143,0.6527777777777777
11,0.6513157894736842,0.27808988764044945,0.38976377952755903
12,0.47580645161290325,0.41843971631205673,0.4452830188679245
13,0.46611295681063125,0.8735990037359901,0.6078856152512999
