,Regularisation,Gamma,Tolerance,Accuracy,Training Time
0,0.5,0.5,0.01,54.02616546895154,125.95489740371704
1,0.5,0.5,0.001,54.02616546895154,153.16593313217163
2,0.5,0.5,0.0001,54.02616546895154,166.08718156814575
3,0.5,0.75,0.01,53.97088630919477,148.04201436042786
4,0.5,0.75,0.001,53.97088630919477,177.09134078025818
5,0.5,0.75,0.0001,53.97088630919477,188.55423998832703
6,0.5,1.0,0.01,53.62078496406855,168.8151340484619
7,0.5,1.0,0.001,53.60235857748295,204.49094414710999
8,0.5,1.0,0.0001,53.60235857748295,217.23570108413696
9,0.5,1.25,0.01,53.233830845771145,192.28688049316406
10,0.5,1.25,0.001,53.25225723235674,234.27679133415222
11,0.5,1.25,0.0001,53.25225723235674,253.32672214508057
12,0.5,1.5,0.01,52.478348995761934,211.42935180664062
13,0.5,1.5,0.001,52.459922609176346,259.4808087348938
14,0.5,1.5,0.0001,52.459922609176346,286.27777433395386
15,0.75,0.5,0.01,54.689515386032795,127.18061137199402
16,0.75,0.5,0.001,54.70794177261838,154.92189931869507
17,0.75,0.5,0.0001,54.70794177261838,167.11277270317078
18,0.75,0.75,0.01,54.56053067993366,152.60371804237366
19,0.75,0.75,0.001,54.56053067993366,177.17806816101074
20,0.75,0.75,0.0001,54.56053067993366,189.13369345664978
21,0.75,1.0,0.01,54.54210429334807,176.7792408466339
22,0.75,1.0,0.001,54.486825133591296,211.2996120452881
23,0.75,1.0,0.0001,54.486825133591296,222.69167923927307
24,0.75,1.25,0.01,54.11829740187949,201.08938717842102
25,0.75,1.25,0.001,54.11829740187949,244.22104668617249
26,0.75,1.25,0.0001,54.11829740187949,261.7687394618988
27,0.75,1.5,0.01,53.54707941772618,222.73820424079895
28,0.75,1.5,0.001,53.54707941772618,267.7602734565735
29,0.75,1.5,0.0001,53.54707941772618,292.7550187110901
30,1.0,0.5,0.01,54.67108899944721,134.39911460876465
31,1.0,0.5,0.001,54.689515386032795,154.81408762931824
32,1.0,0.5,0.0001,54.689515386032795,162.69461250305176
33,1.0,0.75,0.01,54.81850009213193,161.54561805725098
34,1.0,0.75,0.001,54.836926478717515,186.03869223594666
35,1.0,0.75,0.0001,54.836926478717515,194.9992663860321
36,1.0,1.0,0.01,54.763220932375155,183.52835774421692
37,1.0,1.0,0.001,54.763220932375155,216.35540175437927
38,1.0,1.0,0.0001,54.763220932375155,229.285080909729
39,1.0,1.25,0.01,54.339414040906576,214.20517897605896
40,1.0,1.25,0.001,54.339414040906576,249.6598837375641
41,1.0,1.25,0.0001,54.339414040906576,269.021199464798
42,1.0,1.5,0.01,53.934033536023584,228.23075103759766
43,1.0,1.5,0.001,53.915607149437996,268.7096138000488
44,1.0,1.5,0.0001,53.915607149437996,294.79343461990356
45,1.25,0.5,0.01,54.67108899944721,134.90699100494385
46,1.25,0.5,0.001,54.67108899944721,150.6509654521942
47,1.25,0.5,0.0001,54.67108899944721,158.95683002471924
48,1.25,0.75,0.01,54.836926478717515,163.68378472328186
49,1.25,0.75,0.001,54.836926478717515,186.79198741912842
50,1.25,0.75,0.0001,54.836926478717515,201.79408860206604
51,1.25,1.0,0.01,54.689515386032795,191.35316610336304
52,1.25,1.0,0.001,54.67108899944721,226.15522122383118
53,1.25,1.0,0.0001,54.689515386032795,239.76934599876404
54,1.25,1.25,0.01,54.357840427492164,215.2575147151947
55,1.25,1.25,0.001,54.339414040906576,246.88408851623535
56,1.25,1.25,0.0001,54.339414040906576,266.6233687400818
57,1.25,1.5,0.01,53.860327989681224,240.2971932888031
58,1.25,1.5,0.001,53.841901603095636,284.4644241333008
59,1.25,1.5,0.0001,53.841901603095636,313.3492901325226
60,1.5,0.5,0.01,54.763220932375155,139.17745518684387
61,1.5,0.5,0.001,54.763220932375155,155.35040426254272
62,1.5,0.5,0.0001,54.763220932375155,161.725688457489
63,1.5,0.75,0.01,54.8922056384743,170.46815013885498
64,1.5,0.75,0.001,54.8922056384743,190.9558298587799
65,1.5,0.75,0.0001,54.8922056384743,200.68442630767822
66,1.5,1.0,0.01,54.70794177261838,202.38412308692932
67,1.5,1.0,0.001,54.70794177261838,231.0793755054474
68,1.5,1.0,0.0001,54.70794177261838,247.3094446659088
69,1.5,1.25,0.01,54.21042933480744,228.54816555976868
70,1.5,1.25,0.001,54.21042933480744,264.77259063720703
71,1.5,1.25,0.0001,54.21042933480744,287.32454323768616
72,1.5,1.5,0.01,53.62078496406855,250.79228711128235
73,1.5,1.5,0.001,53.62078496406855,297.15818333625793
74,1.5,1.5,0.0001,53.62078496406855,332.2745187282562
